id,id-prov,date,title,language,author,city,materials,dimensions,domain,description,notes,condition,observations,provenance,links,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631.1,2,1631,"COLLECTA ASTRONOMICA,  EXDOCTRINA",Latin,BORRI Christoforo,"Lisbonne, Matthias Rodrigues ","in 4°, pleine basane estampée à froid, dos plein avec 4 nerfs apparents, tranche rognée sur les 3 côtés, tranchefile pékinée bicolore sur septain, gardes et contregardes en papier vergé, traces de liens, corps d'ouvrage en papier vergé","20,6 x 15,3 x 4,7 ",Livre,"Frontispice gravé (burin), nombreux bois gravés dans le texte, quelques-uns en pleine page. 470 p. + un cahier de 4 feuillets",1ère édition,B,,"W.P. Watson, UK, 09.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647.1,4,1647,SELENOGRAPHIA,Latin,HEVELIUS Johannes,"Dantzig, Andreas Hunefeld","in 2°, demi basane à coins, plats marbrés cailloutés, dos plein à 5 faux nerfs apparents, pièce de titre rouge, tranches rognées et jaspées sur les 3 côtés, tranchefiles mécaniques bicolores, gardes et contregardes en papier vergé, corps d'ouvrage en papier vergé","35,5 x 23,5 x 5,4",Livre,"Frontispice et portrait de l'auteur gravés au burin par Jerem. Falk, page de titre en rouge et noir, 111 planches gravées par l'auteur dont certaines en double-page. 597 p.",1ère édition du premier atlas lunaire / Ex-libris de la librairie sur le contreplat sup.),B,,"Christie's NY/The Frank S. Streeter Library, 17.04.2007", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649.1,3,1649,NOVAE COELESTIUM TERRESTRIUM RERUM OBSERVATIONES,Latin,"FONTANA, Francesco","Naples, chez Gaffaro","in 4°, reliure à encadrements dorée à froid en plein chagrin marron, signée Zacehnsdorf, dos plein avec 5 nerfs apparents, titrage et auteur et date dorés sur le dos, tranches rognées et dorées sur les 3 côtés, coupes dorées avec un filet simple, tranchefiles à chapiteaux tricolore, gardes et contregardes marbrées d'origine, corps d'ouvrage en papier vergé ","21,3 x 15,4 x 2 ",Livre,"Frontispice gravé (burin et eau-forte), portrait de l'auteur (entre p.10 et 11), bois gravés et eau-fortes en pleine page, lettrines gravées. 162 p. ",1ère édition,A,,"B.&L. Tootenberg, Sherman Oaks, CA, 04.2009", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649.2,220,1649,SERENISSIMO ETRURIAE MAGNO DUCI FERDINANDO SECUNDO etc.,Latin,SEXTO Fiderico,Non renseigné,"carte en papier vergé montée dans dans un portefeuille avec des coins photos, protégé par un film polyester épais. Portefeuille en carton (dos en toile noire) recouvert de papier Ingres bleu et tapissé à l'interieur de papier pâte mécanique noir, titrage en long au film noir"," 39,8 x 32,3 ",Cartes et plans,Carte de la Lune gravée au burin d'après les relevés de Sexto,Auteur à confirmer,A,"dimension du portefeuille: 48,1 x 40,8 x 1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651.1.1,6,1651,"ALMAGESTVM NOVVUM, Tome I",Latin,RICCIOLI Giovanni Battista,"Bologne, ex Typographia Haeredis Victorij Benatij","in 2°, pleine basane tachetée, dos pleins à 6 nerfs apparents, dorure XVIIIe du dos , titrage et tomaison directement doré sur le dos, coupes dorées avec une roulette, tranches rognées et jaspées (bicolore) sur les 3 côtés, gardes et contregardes en papier vergé, tranchefiles pékinées bicolores","38 x 26 x 7,5  ",Livre,"Frontispice gravé (burin) par F. Curtus Bon, dédicace ornée d'un blason gravé (burin) par Fontana, bois gravés dans le texte et quelques planches gravées au burin en plein page.  [7], [XLVII], 763 p. ",1ère édition en deux volumes,B,,"Iskandar books, Pays-bas, 22.01.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651.1.2,6b,1651,"ALMAGESTVM NOVVUM, Tome II",Latin,RICCIOLI Giovanni Battista,"Bologne, ex Typographia Haeredis Victorij Benatij","in 2°, pleine basane tachetée, dos pleins à 6 nerfs apparents, dorure XVIIIe du dos , titrage et tomaison directement doré sur le dos, coupes dorées avec une roulette, tranches rognées et jaspées (bicolore) sur les 3 côtés, gardes et contregardes en papier vergé, tranchefiles pékinées bicolores","38 x 26 x 6,3 ",Livre,"Frontispice gravé (burin) par F. Curtus Bon, dédicace ornée d'un blason gravé (burin), bois gravés dans le texte. [III], 18 p.",1ère édition en deux volumes,B,,"Iskandar books, Pays-bas, 22.01.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653.1,1,1653,INSTITUTIO ASTRONOMICA / NUNCIUS SIDEREUS / DIOPTRICE,Latin,PETRI GAFFENDI / GALILEI  GALILEI / JOHANNIS KEPLERI,"Londres, imprimé par Jacobi Flesher, chez Cornelium Bee","in 8°, plein parchemin (reliure hollandaise) à dos brisé, tranches rognées et colorées sur les 3 côtés, tranchefiles pékinées simples unicolores (rose) sur parchemin, gardes et contregardes papier vergé, corps d'ouvrage en papier vergé","18,2 x  12 x 3,5",Livre,Ouvrage composé de trois traités. Page de titre générale en rouge et noir et les trois autres en noir. Nombreux bois gravés dans le texte et quelques pleines pages. 390 p.,Première publication en langue anglaise des travaux de Galilée,A,,"Buddenbooks, Boston, 27.04.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675.1,182,1675,THE SPHERE OF MARCUS MANILIUS ,Anglais,SHERBURNE Edward,"Londres, Nathanael Brooke","in 2°, plein veau moucheté, 1/2 dos restauré en chargrin bordeaux, dos plein avec 6 nerfs apparents, nerfs filetés à froid, pièce de titre en grain long vert, tranches rognées et marbrées sur 3 côtés, tranchefiles pékinées bicolores, gardes et contregardes en papier vergé, corps d'ouvrage en papier vergé ","42 x 27,6 x 5,3",Livre,"Frontispice gravé (burin) par W. Hollar, page de titre en noir et rouge, nombreuses vignettes et lettrines gravées dans le texte (burins). 11 planches gravées en pleine page dont 6 à déplier. [XIX], 221 p, IX]",Ex-libris du Earl of Darthmouth collé sur le contreplat,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678.1.1,5,1678,"MUNDUS SUBTERRANEOUS in XII Libros digestus, Tome I",Latin,KIRCHER Athanasius,"Amsterdam, Joannem Janssonium-Waesberge","in 2°, plein parchemin, dos brisé, pièce de titre lacunaire en maroquin marron, inscriptions manuscrites: en queue ""4124"" et 15.5.13 sous la pièce de titre, tranches rognées et jaspées sur 3 côtés, tranchefiles pékinées bicolores sur bandes de peau mégis, contregardes et 2 gardes volantes en papier vergé, corps d'ouvrage en papier vergé   ","38,4 x 26 x 6",Livre,"Frontispice gravé (burin) par Theod. Matham, page de titre avec planche gravée à l'eau-forte, plusieurs planches gravées en pleine page dans l'ouvrage, nombreux bois gravés (lettrines et culs-de-lampes) dans le texte [X], 366 p., [3] ",3ème et plus complète édition des travaux de Kircher en 2 volumes,B,,"Robert Smith, Denver, 12.06.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678.1.2,5b,1678,"MUNDUS SUBTERRANEOUS in XII Libros digestus, Tome II",Latin,KIRCHER Athanasius,"Amsterdam, Joannem Janssonium-Waesberge","in 2°, plein parchemin, dos brisé, emplacement d'une pièce de titre qui a disparu, inscription manuscrite : 15.5.14 sous l'emplacement de la pièce de titre, tranches rognées et jaspées sur 3 côtés, tranchefiles pékinées bicolores sur bandes de peau mégis, contregardes et gardes volantes en papier vergé, corps d'ouvrage en papier vergé   ","38 x 25,8 x 5,7",Livre,"Frontispice gravé (burin) par A. Siourtsma, dédicace, nombreuses planches gravées (bois, burin et eau-forte) dans le texte et en pleine page. [V], 507 p., [4] p. ",3ème et plus complète édition des travaux de Kircher en 2 volumes,B,,"Robert Smith, Denver, 12.06.2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
